Room / Area,Item,Notes,Min Quantity per home,Min Quantity per Bedroom,Min Quantity per Bath,Quantity per window,Required,tenant_types,climate_zones,Affiliate URL,Cost,Cost Each,Number in Pkg,Required Cost,Optional Cost
Bedroom,Coat hook (in-room),"Install into studs for long-term performance and to avoid wall repairs. Laundry, entry, bedroom",,2,,,Yes,,,https://amzn.to/4cfiF56,$14.99 ,$0.94 ,16,$1.88,
Bedroom,Folding desk,Folding Desk Writing Computer Desk for Home Office. Space saving value.,,1,,,Yes,,,https://amzn.to/4mr0EWe,$78.00 ,$78.00 ,1,$78.00,
Bedroom,Office chair,Low-cost but sturdy. Available in multiple colors for room differentiation. Inexpensive to replace if damaged.,,1,,,Yes,,,https://amzn.to/4vlr0wZ,$39.00 ,$39.00 ,1,$39.00,
Bedroom,Wall mirror,Simple and functional. Improves tenant satisfaction at low cost.,,1,,,Yes,,,https://amzn.to/423fMQ2,$43.00 ,$43.00 ,1,$43.00,
Bedroom,Ceiling fan,Adds airflow and lowers AC demand. Choose model with easy bulb replacement.,,1,,,Yes,,,https://amzn.to/4taj3cm,$145.00 ,$145.00 ,1,$145.00,
Bedroom,Smart TV ,Built-in apps eliminate need for cable. 32 inch smart TV.,,1,,,Yes,,,https://amzn.to/4ehv4Ij,$145.00 ,$145.00 ,1,$145.00,
Bedroom,TV wall mount,Install into studs.This swivel TV mount is an ideal choice for most 26 to 65 inch flat and curved TVs.,,1,,,Yes,,,https://amzn.to/4msbv26,$23.00 ,$23.00 ,1,$23.00,
Bedroom,Curtain rod,Optional curtain rods. Match to window width.,,,,1,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://tinyurl.com/42n4d9he,$10.00 ,$10.00 ,1,,$10.00 
Bedroom,Blackout drapes,Optional: Available in multiple colors for room style. Cost depends on color.,,,,1,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4sEB95m,$23.95 ,$23.95 ,1,,$23.95 
Bedroom,Blinds,Optional window blinds. Drapes not needed. Black out style. Match to window width.,,,,1,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://tinyurl.com/42n4d9he,$20.00 ,$20.00 ,1,,$20.00 
Bedroom,Register booster fan,Optional: Solves hot/cold spots in rooms farther from HVAC. Improves tenant comfort without expensive HVAC work.,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/421jslj,$59.99 ,$59.99 ,1,,$59.99 
Bedroom,Mini Fridge,Small personal refrigerator,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4dnWytZ,$129.97 ,$129.97 ,1,,$129.97 
Bedroom,Trash bin,6 gallon trash can,,1,,,Yes,,,https://amzn.to/3Od6YUC,$37.99 ,$12.66 ,3,$12.66,
Bedroom,Door lock / smart lock,Sifely smart lock - Deadbolt version Keyless Sifely Entry Keypad Smart Door Lock with Handle & Knob,,1,,,Yes,,,https://amzn.to/3Q6xUWz,$55.96 ,$55.96 ,1,$55.96,
Bedroom,Dry erase board,Bedroom dry erase board - magnetic,,1,,,No,"students,nomads","cold,temperate,hot",https://amzn.to/4ehwZg6,$62.99 ,$31.50 ,2,,$31.50 
Bedroom,Door chain,Additional tenant safety beyond smart lock. Low-cost and easy to install. Small detail that improves tenant perception of safety.,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/3Q3T8EI,$4.99 ,$2.50 ,2,,$5.00 
Bedroom,Door number / room identifier,Reduces tenant confusion and supports smoother maintenance/vendor visits. Inexpensive but professional.,,1,,,Yes,,,https://amzn.to/4t5UZat,$8.98 ,$8.98 ,1,$8.98,
Bedroom,Door stop,Prevents wall holes from door handles common damage during tenant turnover.,,1,,,Yes,,,https://amzn.to/3QxFppA,$7.99 ,$2.00 ,4,$2.00,
Bedroom,Rolling / foldable shelving unit,"Optional: foldable Storage Shelves with Wheels, Large Capacity Shelving Unit, Freestanding Metal Wire Shelf Rack",,As needed,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4mmubQK,$114.18 ,$57.09 ,2,,$57.09 
Bedroom,Fabric storage cubes,Optional: lightweight and collapsible. Flexible storage alternative to bulky furniture.,,As needed,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4ck8hJn,$19.94 ,$3.32 ,6,,$3.32 
Bedroom,USB wall charger plug,Optional: Dual-USB with built-in safety protection. Especially useful since WiFi gateways don't include wall plugs.,,1,,,Yes,,,https://amzn.to/3OBBN5o,$12.99 ,$2.17 ,6,$2.17,
Bedroom,Surge protected power strip ,Optional: Power strip surge protector with outlets and USB charging ports can power up to 12 devices.,,1,,,Yes,,,https://amzn.to/4sywEJr,$11.99 ,$11.99 ,1,$11.99,
Bedroom,Under bed storage,Optional: Depending on the bed - great use of dead space,,1,,,Yes,,,https://amzn.to/4vtgYJW,$19.99 ,$10.00 ,2,$10.00,
Bedroom,Extra blanket,Classic flannel fleece blanket,,1,,,Yes,,,https://amzn.to/4tH1Ebn,$19.99 ,$19.99 ,1,$19.99,
Bedroom,Tower Fan,Bedroom tower fan,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","temperate,hot",https://amzn.to/4usxE3g,$69.98 ,$69.98 ,1,,$69.98 
Bedroom,Bicycle storage,Inside bedroom storage,,1,,,No,"students,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4cJGeo9,$59.99 ,$59.99 ,1,,$59.99 
Bedroom,White noise machine,Great for shift workers that need to drown out noise,,1,,,No,nurses,"cold,temperate,hot",https://amzn.to/3OR4V95,$19.99 ,$19.99 ,1,,$19.99 
Bedroom,Ring Light,"The lighting is super bright and even, which makes a big difference for videos, pictures, and even video calls. It gives that clean, professional look without needing a whole studio setup.",,1,,,No,"professionals,nomads","cold,temperate,hot",https://amzn.to/4eXljPQ,$112.99 ,$112.99 ,1,,$112.99 
Bedroom,Area rug(s),Protects floors and absorbs noise. Dependent of flooring and décor.,,varies,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://shorturl.at/DvXCT,$22.99 ,$22.99 ,,,$22.99 
Bedroom,Chair(s),Comfortable reading chair or lounging chair(s),1,,,,No,all,all,https://www.wayfair.com/furniture/sb0/accent-chairs-c416225.html,$160.00 ,$160.00 ,1,,$160.00 
Bedroom,Floor lamp ,Optional: Warm-tone LED,,various,,,Yes,,,https://amzn.to/4ms4e2g,$67.99 ,$67.99 ,1,$67.99,
Shared kitchen,Dining table,"Size to match occupancy, 1 seat per tenant minimum",1,,,,Yes,,,https://amzn.to/4tBzej3,$446.49 ,$446.49 ,1,$446.49,
Shared kitchen,Folding chairs,Stackable if space is tight,1,,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4c4kS4y,$109.99 ,$13.75 ,8,,
Shared kitchen,Oven / stove range,Gas or electric - stainless preferred for durability and cleaning,1,,,,Yes,,,https://shorturl.at/2bFjT,$558.00 ,$558.00 ,1,$558.00,
Shared kitchen,Refrigerator,Consider a second mini-fridge for overflow in large homes,1,,,,Yes,,,https://shorturl.at/2bFjT,$499.00 ,$499.00 ,1,$499.00,
Shared kitchen,Microwave,Over-range or countertop,,1,,,Yes,,,https://amzn.to/4w0gdIQ,$119.99 ,$119.99 ,1,$119.99,
Shared kitchen,Coffee maker,Single Serve K-Cup Pod Coffee Maker,,1,,,Yes,,,https://amzn.to/4t6HuHt,$139.99 ,$139.99 ,1,$139.99,
Shared kitchen,Toaster,"Toaster 4 Slice, Retro Stainless with 6 Bread Shade Settings,1.5''Wide Slots Toaster ",,1,,,Yes,,,https://amzn.to/3Qzexpb,$59.99 ,$59.99 ,1,$59.99,
Shared kitchen,Cookware set (pots & pans),"Non-stick, dishwasher-safe",,1 set,,,Yes,,,https://amzn.to/4cmwcI0,$129.99 ,$129.99 ,1,$129.99,
Shared kitchen,Utensil set,"Spatulas, ladles, tongs, etc.",,1 set,,,Yes,,,https://amzn.to/4mvmDLM,$36.99 ,$36.99 ,1,$36.99,
Shared kitchen,Dish set (plates / bowls / mugs),Qty = number of tenants + 2 extra each,,1,,,Yes,,,https://amzn.to/4msmAjI,$74.72 ,$74.72 ,1,$74.72,
Shared kitchen,Glassware set,Drinking glasses,,1,,,Yes,,,https://amzn.to/4cq8nz7,$44.99 ,$2.81 ,16,$2.81,
Shared kitchen,Mug set,Drinking mugs,,1,,,Yes,,,https://amzn.to/421KdGl,$28.99 ,$4.83 ,6,$4.83,
Shared kitchen,Flatware / silverware set,One set per tenant minimum + 2 extra,,1,,,Yes,,,https://amzn.to/421q3fw,$37.99 ,$37.99 ,1,$37.99,
Shared kitchen,Cutting boards ,Various sizes,,1,,,Yes,,,https://amzn.to/4ssAxiQ,$23.99 ,$23.99 ,1,$23.99,
Shared kitchen,Knife set with block,Various sizes and uses,,1,,,Yes,,,https://amzn.to/4t9M6Nh,$39.89 ,$39.89 ,1,$39.89,
Shared kitchen,Dish drying rack,Counter or over-sink,,1,,,Yes,,,https://amzn.to/4t9622N,$16.97 ,$16.97 ,1,$16.97,
Shared kitchen,Trash can with lid,Trash and/or Recycling bin,,1,,,Yes,,,https://amzn.to/4moMm8p,$43.99 ,$43.99 ,1,$43.99,
Shared kitchen,Paper towel holder,Standing Paper Roll Holder with Anti Slip Weighted Base,,1,,,Yes,,,https://amzn.to/4c6jzSz,$11.39 ,$11.39 ,1,$11.39,
Shared kitchen,Cleaning supplies caddy,Keep stocked with supplies,,1,,,Yes,,,https://amzn.to/4cOzxQf,$25.99 ,$25.99 ,1,$25.99,
Shared kitchen,Fire extinguisher,Mount in several locations around the home. This is required and not optional.,,1,,,Yes,,,https://amzn.to/4mpoth3,$25.99 ,$13.00 ,2,$13.00,
Shared kitchen,Pantry organizers,This is very useful in a shared kitchen space - plastic individual bins,,2,,,Yes,,,https://amzn.to/4c56clG,$33.99 ,$8.50 ,4,$17.00,
Shared kitchen,Electric Tea Kettle,This electric tea kettle excels in heating water quietly and quickly. ,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4uhplqD,$39.99 ,$39.99 ,1,,$39.99 
Shared kitchen,Refrigerator organizers,This is very useful in a shared kitchen space - plastic individual bins,,2,,,Yes,,,https://amzn.to/4cskFHf,$31.99 ,$3.20 ,10,$6.40,
Shared living room,Sofa / couch,"Stain-resistant fabric or leather, no light colors",,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://shorturl.at/C14xs,$130.00 ,$130.00 ,1,,$130.00 
Shared living room,Chair(s),Comfortable reading chair or lounging chair(s),1,,,,No,all,all,https://www.wayfair.com/furniture/sb0/accent-chairs-c416225.html,$160.00 ,$160.00 ,1,,$160.00 
Shared living room,Coffee table,"Durable surface, easy to clean",,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober",,https://shorturl.at/c9qLD,$123.00 ,$123.00 ,1,,$123.00 
Shared living room,Smart TV + wall mount,55-inch minimum for shared living. Built-in apps eliminate cable costs. Wall mount install into studs.,,1,,,Yes,,,https://amzn.to/3Owx0Ci,$249.99 ,$249.99 ,1,$249.99,
Shared living room,Floor lamp ,Optional: Warm-tone LED,,various,,,Yes,,,https://amzn.to/4ms4e2g,$67.99 ,$67.99 ,1,$67.99,
Shared living room,Area rug(s),Protects floors and absorbs noise. Dependent of flooring and décor.,,varies,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://shorturl.at/DvXCT,$22.99 ,$22.99 ,,,$22.99 
Shared living room,Side table(s),Dependent on décor.,,varies,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://shorturl.at/nAv6C,$20.99 ,$20.99 ,,,$20.99 
Shared living room,Storage ottoman,"Optional: Communal items, board games, etc.",,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4mp13sf,$39.98 ,$39.98 ,1,,
Shared bathroom(s),Shower curtain rod,Easy-to-assemble rod viable for many shower sizes. Or add a curved rod for more space.,,,1,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4tGai9J,$29.99 ,$29.99 ,1,,$29.99 
Shared bathroom(s),Shower curtain + liner,Replace liner between tenants,,,1,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4cChNc2,$28.99 ,$28.99 ,1,,$29.99 
Shared bathroom(s),Bath mat (2 per bathroom),"Non-slip, washable",,,2,,Yes,,,https://amzn.to/3QinJhE,$9.39 ,$9.39 ,1,$18.78,
Shared bathroom(s),Tub mat ,"Non-slip, washable",,,1,,Yes,"seniors,sober",all,https://amzn.to/4n2EFF8,$18.99 ,$18.99 ,1,$18.99,
Shared bathroom(s),Toilet brush + plunger set,"toilet brush, a powerful toilet plunger and a two-compartment steady holder.",,,1,,Yes,,,https://amzn.to/4vvahaw,$38.99 ,$19.50 ,2,$19.50,
Shared bathroom(s),Toilet paper holder,Freestanding roll holder preferred wall-mounted holders break frequently.,,,1,,Yes,,,https://amzn.to/4tcx8WI,$23.47 ,$23.47 ,1,,$23.47 
Shared bathroom(s),Do Not Flush sign,The sign reminds users not to flush items like bathroom wipes or feminine hygiene products,,,1,,Yes,,,https://amzn.to/41t8y7W,$9.95 ,$4.98 ,2,,$4.98 
Shared bathroom(s),"Towel bars, robe hooks, etc.",Varies depending on décor,,,1,,Yes,,,https://amzn.to/4ueOa6H,$31.34 ,$31.34 ,1,$31.34,
Shared bathroom(s),Over-door hook organizer,Optional: Adds per-tenant storage without drilling,,,1,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4mpmidt,$19.98 ,$19.98 ,1,,$19.98 
Shared bathroom(s),Vanity mirror (if not built-in),Optional: 10X wall-mounted magnifying mirror is perfect for detailed makeup application,,,1,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/47Yyzj3,$24.99 ,$24.99 ,1,,$24.99 
Shared bathroom(s),Grab bars,"Safety grab bars around toilet, and shower or tub.",,,1,,Yes,"seniors,sober",all,https://amzn.to/3QL97b1,$45.99 ,$45.99 ,1,$45.99,
Shared bathroom(s),Trash bin,1.3 Gallon,,,1,,Yes,,,https://amzn.to/4dITAC6,$24.99 ,$24.99 ,1,$24.99,
Shared bathroom(s),Cleaning supplies (initial stock),"Toilet bowl cleaner, scrubber, surface spray",,,1,,Yes,,,,$20.00 ,$20.00 ,1,$20.00,
Laundry area,Washer,Front-load or top load,,1,,,Yes,,,https://ziply.pk/8aCT21,$488.00 ,$488.00 ,1,$488.00,
Laundry area,Dryer,Or washer/dryer combo unit if space limited,,1,,,Yes,,,https://ziply.pk/ZS3muE,$488.00 ,$488.00 ,1,$488.00,
Laundry area,Laundry detergent (starter stock),,,1,,,Yes,,,https://amzn.to/3OoEdEi,$27.24 ,$27.24 ,1,$27.24,
Laundry area,Dryer sheets or wool dryer balls,,,1,,,Yes,,,https://amzn.to/4chbyJh,$9.97 ,$9.97 ,1,$9.97,
Laundry area,Laundry hampers / bags,One per tenant room ,,1,,,Yes,,,https://amzn.to/4cJBL3J,$11.99 ,$6.00 ,2,$6.00,
Laundry area,Ironing board,Wall-mount board saves floor space,,1,,,Yes,,,https://amzn.to/4cfU8wM,$49.99 ,$49.99 ,1,$49.99,
Laundry area,Iron ,"From shirts and pants to curtains and drapes, ironing made simple",,1,,,Yes,,,https://amzn.to/47UtDvv,$19.99 ,$19.99 ,1,$19.99,
Laundry area,Drying rack (foldable),For delicates,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/47R2jOQ,$39.32 ,$39.32 ,1,,$39.32 
Tech & safety,WiFi mesh network,One set of rockspace dual-band mesh WiFi system works together to create a seamless signal coverage of up to 6000 sq. Ft,,1 system,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4w4TV8E,$300.00 ,$300.00 ,1,,$300.00 
Tech & safety,WiFi gateway / router,Varies with the system preferred,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/48CvSUC,$160.00 ,$160.00 ,1,,$160.00 
Tech & safety,Batteries (bulk pack),"Keep stocked for locks, remotes, smoke detectors.",,1 bulk pack,,,Yes,,,https://amzn.to/3Ow5qFj,$19.95 ,$19.95 ,1,$19.95,
Tech & safety,Key lockbox / keybox,Stores backup key securely. Essential for emergency access without tenant involvement.,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4cCDIQm,$18.99 ,$9.50 ,2,,$9.50 
Tech & safety,Non-smart punch-code lock,For utility rooms and cabinets not tenant areas. Allows vendor/cleaner access by code.,,As needed,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/48C3kKH,$34.00 ,$34.00 ,,,$34.00 
Tech & safety,Smoke detectors,Advanced sensing technology complies with new industry standards to reduce cooking nuisance alarms and provides early warning in the event of a home fire emergency ,,Per code,,,Yes,,,https://amzn.to/4mspbKn,$46.99 ,$15.66 ,3,$15.66,
Tech & safety,Carbon monoxide detector,"Easy Installation - simply plug-in to a standard, 120V outlet in your home",,Per code,,,Yes,,,https://amzn.to/48OxSJF,$27.94 ,$27.94 ,,$27.94,
Tech & safety,Smart thermostat, Automatically adjusts the temperature when you’re away to never heat or cool an empty home,,1,,,Yes,,,https://amzn.to/4tINwOA,$199.99 ,$199.99 ,1,$199.99,
Tech & safety,Thermostat lockbox,"The thermostat lock box with key prevent unauthorized adjustments, tampering and damage to thermostat settings by children, tenants, or the public.",,1,,,Yes,,,https://amzn.to/4cAVyDn,$13.91 ,$13.91 ,1,$13.91,
Tech & safety,Noise monitor,"Optional: Never in bedrooms. Accurately tracks sound levels to help maintain a calm, secure, and well-managed property environment.",,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4edbpcw,$174.95 ,$174.95 ,1,,$174.95 
Tech & safety,Security camera (exterior only),Never inside legal and trust issue,,As needed,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4dJvQh6,$99.99 ,$50.00 ,2,,$50.00 
Tech & safety,First aid kit,Mounted in kitchen or common hallway,,1,,,Yes,,,https://amzn.to/3Q1Pf32,$42.95 ,$42.95 ,1,$42.95,
Common area ,Mop + bucket,Or spray mop for hard floors,,1,,,Yes,,,https://amzn.to/41tObrc,$32.20 ,$32.20 ,1,$32.20,
Common area ,Broom + dustpan,cleanup and spills,,1,,,Yes,,,https://amzn.to/4swf34P,$25.99 ,$25.99 ,1,$25.99,
Common area ,Entryway shoe rack or bench,Sets tone at the front door,,1,,,Yes,,,https://amzn.to/4tM4HyQ,$37.99 ,$37.99 ,1,$37.99,
Common area ,Shoe mat,Rubber mat for shoes and boots near door,1,,,,No,"students,seniors,professionals,nurses,trades,nomads,sober",cold,https://amzn.to/3QLcZsv,$19.99 ,$19.99 ,1,,$19.99 
Common area ,Door draft stopper,Help keep your home clean from outside elements.,1,,,,No,"students,seniors,professionals,nurses,trades,nomads,sober",cold,https://amzn.to/4wkqVKq,$14.97 ,$14.97 ,1,,$14.97 
Common area ,Coat hooks (entryway),One per tenant minimum,,As needed,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4t92wpd,$105.99 ,$105.99 ,1,$105.99,
Common area ,Doormat (exterior),"Heavy-duty, easy to clean",,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4cFMpJG,$45.99 ,$45.99 ,1,$45.99,
Common area ,Vacuum cleaner,Corded upright for shared spaces,,1,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4c3jmzC,$69.99 ,$69.99 ,1,$69.99,
Common area ,Hallway / stairway lighting,Motion-sensor preferred for energy saving,,As needed,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/3Q0EFJD,$21.99 ,$5.50 ,4,$5.50,
Common area ,Wall art / decor ,"Neutral, durable with frames anchored to wall",,As needed,,,Yes,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://shorturl.fm/hn9LI,$29.00 ,$29.00 ,1,,$29.00 
Common area ,Whiteboard or corkboard,"House notices, chore chart, operators swear by this",1,,,,No,"students,seniors,professionals,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4vvhYgY,$11.95 ,$11.95 ,1,,$11.95 
Common area ,Puzzles and Board Games,"Various games, cards, puzzles, books, etc.",As needed,,,,No,all,all,,$25.00 ,$25.00 ,1,,$25.00 
Common area ,Large Label Maker,Mark everything to help tenants stay organized,1,,,,No,all,all,https://amzn.to/4tIhmmB,$45.99 ,$45.99 ,1,,$45.99 
Common area ,Bicycle storage,Inside storage for garage,1,,,,No,"students,nurses,trades,nomads,sober","cold,temperate,hot",https://amzn.to/4ejat6B,$69.99 ,$69.99 ,1,,$69.99 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Totals:,"$5,536.97","$1,954.82 "
